k1,b,NDCG@10,NDCG@100,Recall@10,Recall@100,avg_search_time_ms
1.5,0.8,0.61379,0.45082,0.01637,0.11359,41.024
1.5,0.2,0.61155,0.45718,0.01674,0.11258,42.44
2.4,0.1,0.61108,0.45985,0.01712,0.11298,43.336
3.0,0.1,0.60975,0.46148,0.01706,0.11236,44.639
0.9,0.5,0.60569,0.44045,0.01597,0.10956,42.434
0.9,0.6,0.60527,0.44135,0.0161,0.11047,41.661
2.7,0.1,0.60492,0.45968,0.01693,0.11247,46.758
2.1,0.1,0.6047,0.45785,0.01667,0.1127,43.957
0.9,0.7,0.5976,0.43764,0.01583,0.11004,40.913
1.2,0.2,0.59716,0.44866,0.01624,0.11122,42.914
0.9,0.4,0.59469,0.43824,0.01581,0.1091,40.907
1.8,0.1,0.59025,0.45212,0.01636,0.11159,42.604
0.9,0.3,0.5896,0.43779,0.01585,0.10876,42.799
0.9,0.8,0.58792,0.43051,0.01557,0.10838,42.028
1.2,0.9,0.58677,0.42917,0.01599,0.10931,40.825
0.9,0.2,0.57615,0.43179,0.01562,0.10764,42.331
1.5,0.1,0.576,0.44612,0.01588,0.11075,44.5
0.9,0.9,0.57399,0.42339,0.01518,0.10797,42.126
0.6,0.7,0.57312,0.41706,0.01517,0.10556,40.347
0.6,0.6,0.5698,0.41685,0.01505,0.10534,42.453
1.8,0.9,0.56941,0.42612,0.01557,0.10816,40.262
1.5,0.9,0.56839,0.42957,0.01552,0.10908,42.148
0.6,0.8,0.56794,0.41618,0.01489,0.10514,40.354
0.6,0.9,0.56604,0.412,0.01471,0.10426,41.396
1.2,0.1,0.56564,0.43667,0.01507,0.10849,45.18
0.6,0.5,0.55938,0.41601,0.01488,0.10544,41.527
2.1,0.9,0.55852,0.42111,0.01565,0.1072,42.285
2.4,0.9,0.55691,0.41709,0.01559,0.1055,41.339
3.0,0.9,0.55467,0.40969,0.01529,0.10307,44.653
2.7,0.9,0.55268,0.41219,0.01523,0.1037,47.118
0.6,0.4,0.55257,0.41554,0.0149,0.10481,40.272
0.6,0.3,0.5512,0.41343,0.01495,0.10405,40.712
0.9,1.0,0.54563,0.41063,0.01477,0.10536,40.252
0.6,1.0,0.54163,0.40487,0.01414,0.10314,41.225
0.9,0.1,0.53194,0.41972,0.01407,0.10574,42.035
1.2,1.0,0.53177,0.40002,0.01443,0.1022,40.719
0.6,0.2,0.52404,0.40937,0.01354,0.10382,41.063
1.5,1.0,0.51095,0.39144,0.01383,0.10074,40.116
1.8,1.0,0.50888,0.3806,0.01382,0.09786,40.577
0.3,0.9,0.50194,0.38041,0.01355,0.09863,39.834
0.3,1.0,0.50113,0.37908,0.01353,0.09866,39.288
0.3,0.8,0.50112,0.37982,0.01357,0.09837,39.565
0.6,0.1,0.49953,0.40151,0.01275,0.10239,41.904
2.1,1.0,0.4994,0.37072,0.0136,0.09545,41.552
0.3,0.7,0.49915,0.37903,0.01359,0.09762,39.647
0.3,0.6,0.49596,0.37777,0.01361,0.0969,41.138
0.3,0.5,0.49219,0.37515,0.01358,0.09585,40.111
3.0,0.0,0.48957,0.41809,0.01401,0.1047,46.609
0.3,0.4,0.48426,0.37456,0.01273,0.09566,40.09
2.7,0.0,0.48272,0.41732,0.01397,0.10503,45.551
2.4,0.0,0.47877,0.41888,0.01369,0.1064,45.455
0.3,0.3,0.477,0.37283,0.01235,0.09528,41.524
1.8,0.0,0.47443,0.41331,0.01286,0.10527,44.823
2.4,1.0,0.47246,0.35456,0.01278,0.09131,40.63
2.1,0.0,0.47064,0.41669,0.01297,0.1059,48.199
1.5,0.0,0.46727,0.40964,0.01252,0.10502,45.013
0.3,0.2,0.46504,0.36997,0.01225,0.09447,42.562
2.7,1.0,0.46466,0.33771,0.01295,0.08585,51.89
1.2,0.0,0.45674,0.40279,0.01267,0.10345,44.518
0.9,0.0,0.45359,0.39371,0.01266,0.10221,43.592
0.3,0.1,0.44532,0.36365,0.01196,0.09329,40.925
3.0,1.0,0.44202,0.3199,0.01267,0.08083,42.97
0.6,0.0,0.42455,0.37662,0.01163,0.09926,43.985
0.3,0.0,0.39235,0.34583,0.01089,0.09076,41.536
0.0,0.1,0.32084,0.28289,0.00931,0.07559,46.153
0.0,1.0,0.32084,0.28289,0.00931,0.07559,41.197
0.0,0.9,0.32084,0.28289,0.00931,0.07559,40.641
0.0,0.8,0.32084,0.28289,0.00931,0.07559,40.713
0.0,0.7,0.32084,0.28289,0.00931,0.07559,40.489
0.0,0.6,0.32084,0.28289,0.00931,0.07559,40.858
0.0,0.5,0.32084,0.28289,0.00931,0.07559,41.114
0.0,0.4,0.32084,0.28289,0.00931,0.07559,40.05
0.0,0.3,0.32084,0.28289,0.00931,0.07559,44.411
0.0,0.2,0.32084,0.28289,0.00931,0.07559,40.641
0.0,0.0,0.32084,0.28289,0.00931,0.07559,49.653
