k1,b,NDCG@10,NDCG@100,Recall@10,Recall@100,time_s,avg_latency_ms
2.1,0.1,0.14282,0.2025,0.19691,0.43259,32.176,49.654
0.3,0.1,0.14166,0.19312,0.19205,0.39292,31.491,48.598
2.4,0.1,0.13909,0.19822,0.19651,0.43008,31.281,48.273
2.7,0.1,0.13826,0.19479,0.19779,0.42324,31.455,48.542
3.0,0.1,0.13483,0.1922,0.19301,0.42139,32.054,49.467
1.2,0.0,0.12078,0.17438,0.16957,0.38001,33.099,51.079
0.9,0.0,0.12042,0.17534,0.16954,0.38675,33.187,51.215
0.6,0.0,0.11956,0.17208,0.16918,0.3781,32.614,50.33
0.3,0.0,0.11811,0.16842,0.16763,0.36386,31.97,49.337
1.5,0.0,0.11442,0.16982,0.16072,0.3785,33.562,51.793
1.8,0.0,0.11191,0.16778,0.15755,0.38151,33.722,52.039
0.0,0.3,0.10921,0.15435,0.15524,0.33039,31.474,48.57
0.0,0.2,0.10921,0.15435,0.15524,0.33039,31.826,49.114
0.0,0.4,0.10921,0.15435,0.15524,0.33039,31.774,49.034
0.0,0.5,0.10921,0.15435,0.15524,0.33039,31.42,48.488
0.0,0.6,0.10921,0.15435,0.15524,0.33039,31.974,49.342
0.0,0.7,0.10921,0.15435,0.15524,0.33039,31.646,48.836
0.0,0.0,0.10921,0.15435,0.15524,0.33039,32.929,50.816
0.0,0.8,0.10921,0.15435,0.15524,0.33039,32.161,49.631
0.0,0.9,0.10921,0.15435,0.15524,0.33039,31.979,49.35
0.0,1.0,0.10921,0.15435,0.15524,0.33039,31.602,48.769
0.0,0.1,0.10921,0.15435,0.15524,0.33039,31.354,48.386
2.1,0.0,0.10778,0.16347,0.15452,0.37934,33.299,51.387
2.7,0.0,0.1055,0.16026,0.15356,0.37433,32.966,50.873
2.4,0.0,0.10495,0.16141,0.15073,0.3779,33.441,51.607
3.0,0.0,0.10329,0.15825,0.15169,0.37327,33.806,52.17
