k1,b,NDCG@10,NDCG@100,Recall@10,Recall@100,time_s,avg_latency_ms
3.0,0.8,0.154,0.22365,0.16658,0.37223,51.534,51.534
2.1,0.7,0.15368,0.22433,0.16558,0.37383,53.441,53.441
2.4,0.7,0.15339,0.22356,0.16603,0.37283,52.356,52.356
2.7,0.7,0.15322,0.22295,0.16478,0.37025,52.324,52.324
1.2,0.5,0.15322,0.22213,0.1653,0.36953,52.493,52.493
1.5,0.5,0.15283,0.22202,0.16535,0.36988,52.071,52.071
1.8,0.6,0.15277,0.22275,0.16562,0.37153,52.602,52.602
0.6,1.0,0.15248,0.22193,0.16358,0.36937,51.598,51.598
0.9,0.6,0.15242,0.22074,0.16432,0.36645,51.904,51.904
0.9,0.5,0.15223,0.22068,0.16245,0.3643,52.659,52.659
1.8,0.5,0.15134,0.22142,0.1637,0.37073,53.906,53.906
2.1,0.6,0.1512,0.22248,0.16357,0.37363,53.48,53.48
3.0,0.7,0.15119,0.22097,0.16323,0.3685,51.509,51.509
1.5,0.4,0.15114,0.21982,0.1641,0.36748,52.645,52.645
0.6,0.9,0.15074,0.22068,0.16245,0.36938,51.824,51.824
2.4,0.6,0.15053,0.2205,0.16393,0.37018,52.299,52.299
0.6,0.8,0.1501,0.22046,0.16165,0.36978,52.073,52.073
2.7,0.6,0.14978,0.22024,0.16148,0.36925,52.671,52.671
2.1,0.5,0.14977,0.22084,0.16192,0.37098,53.508,53.508
1.2,0.4,0.14966,0.21899,0.16157,0.3662,52.497,52.497
1.8,0.4,0.1494,0.2181,0.1642,0.36818,54.343,54.343
0.9,0.4,0.14912,0.21739,0.1607,0.36205,53.01,53.01
3.0,0.5,0.1489,0.21835,0.16158,0.36743,51.74,51.74
2.4,0.5,0.14889,0.21919,0.16073,0.36708,53.414,53.414
2.7,0.5,0.14861,0.21814,0.16093,0.3663,52.782,52.782
3.0,0.6,0.14841,0.21848,0.16148,0.3684,51.698,51.698
0.6,0.7,0.14827,0.2187,0.1599,0.36763,51.928,51.928
1.5,0.3,0.14824,0.21613,0.1615,0.36268,53.456,53.456
2.1,0.4,0.14808,0.21785,0.16097,0.36653,53.139,53.139
1.2,0.3,0.14802,0.21642,0.1611,0.3639,53.062,53.062
2.4,0.4,0.14757,0.21645,0.16172,0.36528,53.718,53.718
1.8,0.3,0.14705,0.21601,0.16045,0.36513,54.172,54.172
0.6,0.6,0.14695,0.21772,0.15805,0.36663,52.284,52.284
3.0,0.4,0.14624,0.21441,0.16103,0.36303,52.564,52.564
0.9,0.3,0.14622,0.21395,0.1597,0.35965,53.544,53.544
2.7,0.4,0.14596,0.21585,0.15878,0.365,52.937,52.937
2.1,0.3,0.14581,0.21466,0.15967,0.36343,54.01,54.01
0.6,0.5,0.14563,0.21582,0.1568,0.36313,52.94,52.94
2.4,0.3,0.14455,0.21331,0.15882,0.36213,54.062,54.062
0.6,0.4,0.14454,0.21304,0.15645,0.35813,54.051,54.051
1.2,0.2,0.14417,0.21235,0.1575,0.359,54.23,54.23
0.9,0.2,0.14383,0.21075,0.1577,0.3554,54.129,54.129
1.5,0.2,0.14341,0.21036,0.1585,0.3565,54.259,54.259
0.6,0.3,0.14337,0.21256,0.15435,0.35783,53.499,53.499
2.7,0.3,0.14319,0.21168,0.15782,0.36083,52.607,52.607
1.8,0.2,0.14311,0.2108,0.15705,0.35738,54.941,54.941
0.3,1.0,0.14302,0.2112,0.15475,0.35618,51.564,51.564
2.1,0.2,0.14199,0.21047,0.156,0.35868,54.712,54.712
2.4,0.2,0.14189,0.20903,0.15715,0.35663,57.294,57.294
0.3,0.9,0.14189,0.21008,0.15355,0.35443,51.716,51.716
3.0,0.3,0.14142,0.20974,0.15633,0.35803,53.27,53.27
1.2,0.1,0.14135,0.20818,0.15585,0.35405,54.441,54.441
0.3,0.8,0.14121,0.2094,0.15355,0.35493,51.837,51.837
0.6,0.2,0.14117,0.21016,0.1531,0.3577,53.762,53.762
1.5,0.1,0.14015,0.20586,0.1554,0.34955,54.882,54.882
2.7,0.2,0.1398,0.20745,0.15562,0.35663,52.756,52.756
0.3,0.7,0.13958,0.20801,0.15215,0.35378,51.979,51.979
0.9,0.1,0.13954,0.20696,0.1534,0.35305,54.155,54.155
0.3,0.6,0.13948,0.20765,0.15155,0.35238,51.908,51.908
3.0,0.2,0.1391,0.20649,0.15452,0.35448,52.918,52.918
1.8,0.1,0.13862,0.20553,0.15377,0.3525,55.002,55.002
2.1,0.1,0.13835,0.20554,0.15257,0.35185,55.24,55.24
0.6,0.1,0.13734,0.20513,0.1505,0.3512,54.464,54.464
0.3,0.5,0.13671,0.20625,0.14795,0.35218,52.162,52.162
2.4,0.1,0.13602,0.20295,0.15127,0.35045,54.801,54.801
0.3,0.4,0.13586,0.20501,0.14615,0.34913,52.79,52.79
1.2,0.0,0.1337,0.20038,0.15015,0.3488,56.569,56.569
0.3,0.3,0.13358,0.20329,0.14342,0.34858,52.852,52.852
2.7,0.1,0.13346,0.20025,0.151,0.3501,53.808,53.808
0.9,0.0,0.13308,0.19959,0.1489,0.34588,55.721,55.721
3.0,0.1,0.13244,0.19957,0.14992,0.3499,54.312,54.312
0.3,0.2,0.13167,0.20146,0.14162,0.34733,53.892,53.892
1.5,0.0,0.13148,0.19755,0.14843,0.344,56.369,56.369
1.8,0.0,0.12975,0.19613,0.14708,0.34425,56.361,56.361
0.6,0.0,0.12945,0.19759,0.14222,0.34283,54.589,54.589
0.3,0.1,0.1289,0.19716,0.13967,0.34078,54.283,54.283
2.1,0.0,0.12839,0.19523,0.14453,0.34325,57.022,57.022
2.4,0.0,0.12753,0.19444,0.14448,0.3442,57.03,57.03
0.3,0.0,0.12489,0.19332,0.13588,0.33803,55.328,55.328
2.7,0.0,0.12473,0.19197,0.14103,0.3404,55.286,55.286
3.0,0.0,0.12346,0.19014,0.14088,0.33948,56.354,56.354
0.0,0.2,0.11505,0.17908,0.12758,0.3186,56.182,56.182
0.0,0.1,0.11505,0.17908,0.12758,0.3186,55.889,55.889
0.0,0.3,0.11505,0.17908,0.12758,0.3186,55.398,55.398
0.0,0.7,0.11505,0.17908,0.12758,0.3186,57.298,57.298
0.0,0.4,0.11505,0.17908,0.12758,0.3186,55.236,55.236
0.0,0.5,0.11505,0.17908,0.12758,0.3186,57.69,57.69
0.0,0.6,0.11505,0.17908,0.12758,0.3186,57.047,57.047
0.0,0.8,0.11505,0.17908,0.12758,0.3186,57.649,57.649
0.0,0.9,0.11505,0.17908,0.12758,0.3186,56.531,56.531
0.0,1.0,0.11505,0.17908,0.12758,0.3186,55.434,55.434
0.0,0.0,0.11505,0.17908,0.12758,0.3186,56.69,56.69
